County,WeekStartDate,ProbableCases,ConfirmedCases,TotalCases,Age 0-19,Age 20-34,Age 35-49,Age 50-64,Age 65-79,Age 80+,UnknownAge,dtm_updated
Adams County,15/3/2020,0,3,3,0,0,2,1,0,0,0,2021/05/03 12:56:56
Adams County,22/3/2020,0,13,13,0,2,5,1,5,0,0,2021/05/03 12:56:56
Adams County,29/3/2020,0,17,17,2,5,5,3,2,0,0,2021/05/03 12:56:56
Adams County,5/4/2020,0,8,8,1,2,2,2,1,0,0,2021/05/03 12:56:56
Adams County,12/4/2020,0,2,2,0,1,0,1,0,0,0,2021/05/03 12:56:56
Adams County,19/4/2020,0,4,4,0,4,0,0,0,0,0,2021/05/03 12:56:56
Adams County,26/4/2020,0,2,2,0,1,1,0,0,0,0,2021/05/03 12:56:56
Adams County,3/5/2020,0,1,1,1,0,0,0,0,0,0,2021/05/03 12:56:56
Adams County,10/5/2020,0,1,1,0,0,0,1,0,0,0,2021/05/03 12:56:56
Adams County,17/5/2020,0,6,6,0,1,4,1,0,0,0,2021/05/03 12:56:56
Adams County,24/5/2020,0,17,17,2,9,0,5,1,0,0,2021/05/03 12:56:56
Adams County,31/5/2020,0,14,14,5,4,5,0,0,0,0,2021/05/03 12:56:56
Adams County,7/6/2020,0,12,12,1,2,2,5,1,0,1,2021/05/03 12:56:56
Adams County,14/6/2020,0,13,13,1,4,2,5,1,0,0,2021/05/03 12:56:56
Adams County,21/6/2020,0,29,29,0,13,5,8,3,0,0,2021/05/03 12:56:56
Adams County,28/6/2020,0,54,54,14,9,9,18,3,1,0,2021/05/03 12:56:56
Adams County,5/7/2020,0,58,58,17,22,9,7,1,2,0,2021/05/03 12:56:56
Adams County,12/7/2020,0,66,66,14,18,17,11,4,2,0,2021/05/03 12:56:56
Adams County,19/7/2020,0,52,52,13,10,8,6,5,10,0,2021/05/03 12:56:56
Adams County,26/7/2020,0,34,34,6,7,8,9,1,3,0,2021/05/03 12:56:56
Adams County,2/8/2020,0,58,58,6,19,19,10,3,1,0,2021/05/03 12:56:56
Adams County,9/8/2020,0,53,53,13,11,12,8,7,2,0,2021/05/03 12:56:56
Adams County,16/8/2020,0,60,60,14,17,15,8,5,0,1,2021/05/03 12:56:56
Adams County,23/8/2020,0,64,64,9,23,12,14,5,1,0,2021/05/03 12:56:56
Adams County,30/8/2020,0,92,92,16,23,18,23,10,2,0,2021/05/03 12:56:56
Adams County,6/9/2020,0,49,49,6,17,16,7,1,2,0,2021/05/03 12:56:56
Adams County,13/9/2020,0,44,44,10,10,9,11,2,2,0,2021/05/03 12:56:56
Adams County,20/9/2020,0,40,40,1,17,10,11,1,0,0,2021/05/03 12:56:56
Adams County,27/9/2020,0,16,16,4,3,3,2,4,0,0,2021/05/03 12:56:56
Adams County,4/10/2020,0,20,20,1,7,3,1,5,3,0,2021/05/03 12:56:56
Adams County,11/10/2020,0,17,17,3,3,4,3,3,1,0,2021/05/03 12:56:56
Adams County,18/10/2020,0,11,11,4,6,1,0,0,0,0,2021/05/03 12:56:56
Adams County,25/10/2020,0,36,36,10,11,9,6,0,0,0,2021/05/03 12:56:56
Adams County,1/11/2020,2,82,84,15,15,21,23,9,1,0,2021/05/03 12:56:56
Adams County,8/11/2020,3,145,148,31,43,33,26,11,4,0,2021/05/03 12:56:56
Adams County,15/11/2020,11,135,146,23,45,43,20,15,0,0,2021/05/03 12:56:56
Adams County,22/11/2020,19,49,68,9,28,20,11,0,0,0,2021/05/03 12:56:56
Adams County,29/11/2020,16,83,99,19,31,31,14,3,1,0,2021/05/03 12:56:56
Adams County,6/12/2020,25,52,77,20,20,23,9,4,0,1,2021/05/03 12:56:56
Adams County,13/12/2020,10,47,57,11,13,16,7,9,1,0,2021/05/03 12:56:56
Adams County,20/12/2020,9,18,27,10,5,0,5,6,1,0,2021/05/03 12:56:56
Adams County,27/12/2020,16,30,46,7,15,16,5,3,0,0,2021/05/03 12:56:56
Adams County,3/1/2021,3,39,42,12,9,11,3,6,1,0,2021/05/03 12:56:56
Adams County,10/1/2021,7,22,29,5,10,7,4,3,0,0,2021/05/03 12:56:56
Adams County,17/1/2021,4,28,32,3,12,7,7,3,0,0,2021/05/03 12:56:56
Adams County,24/1/2021,15,36,51,15,9,7,13,5,2,0,2021/05/03 12:56:56
Adams County,31/1/2021,5,34,39,7,11,9,6,5,1,0,2021/05/03 12:56:56
Adams County,7/2/2021,4,34,38,14,10,8,6,0,0,0,2021/05/03 12:56:56
Adams County,14/2/2021,3,6,9,2,1,2,3,0,1,0,2021/05/03 12:56:56
Adams County,21/2/2021,2,5,7,1,2,3,0,1,0,0,2021/05/03 12:56:56
Adams County,28/2/2021,1,7,8,1,2,3,1,1,0,0,2021/05/03 12:56:56
Adams County,7/3/2021,0,9,9,3,0,3,0,3,0,0,2021/05/03 12:56:56
Adams County,14/3/2021,0,11,11,2,2,4,1,2,0,0,2021/05/03 12:56:56
Adams County,21/3/2021,2,19,21,7,8,5,1,0,0,0,2021/05/03 12:56:56
Adams County,28/3/2021,1,10,11,6,2,3,0,0,0,0,2021/05/03 12:56:56
Adams County,4/4/2021,1,15,16,6,6,4,0,0,0,0,2021/05/03 12:56:56
Adams County,11/4/2021,7,14,21,5,4,8,3,1,0,0,2021/05/03 12:56:56
Adams County,18/4/2021,0,17,17,9,1,5,1,1,0,0,2021/05/03 12:56:56
Adams County,25/4/2021,3,20,23,7,4,8,3,1,0,0,2021/05/03 12:56:56
Asotin County,29/3/2020,0,4,4,0,0,2,0,2,0,0,2021/05/03 12:56:56
Asotin County,5/4/2020,0,4,4,0,0,1,2,0,1,0,2021/05/03 12:56:56
Asotin County,12/4/2020,0,6,6,0,0,2,4,0,0,0,2021/05/03 12:56:56
Asotin County,19/4/2020,0,4,4,1,0,0,2,0,1,0,2021/05/03 12:56:56
Asotin County,17/5/2020,0,1,1,0,0,1,0,0,0,0,2021/05/03 12:56:56
Asotin County,7/6/2020,0,1,1,0,0,0,0,1,0,0,2021/05/03 12:56:56
Asotin County,21/6/2020,0,1,1,0,0,0,1,0,0,0,2021/05/03 12:56:56
Asotin County,28/6/2020,0,1,1,0,0,0,1,0,0,0,2021/05/03 12:56:56
Asotin County,19/7/2020,0,2,2,0,1,1,0,0,0,0,2021/05/03 12:56:56
Asotin County,26/7/2020,0,2,2,1,1,0,0,0,0,0,2021/05/03 12:56:56
Asotin County,2/8/2020,0,5,5,0,3,1,1,0,0,0,2021/05/03 12:56:56
Asotin County,9/8/2020,0,14,14,1,7,2,2,2,0,0,2021/05/03 12:56:56
Asotin County,16/8/2020,0,5,5,0,3,1,1,0,0,0,2021/05/03 12:56:56
Asotin County,23/8/2020,0,4,4,1,0,0,2,1,0,0,2021/05/03 12:56:56
Asotin County,30/8/2020,0,7,7,1,2,0,2,2,0,0,2021/05/03 12:56:56
Asotin County,6/9/2020,0,15,15,2,1,1,4,6,1,0,2021/05/03 12:56:56
Asotin County,13/9/2020,0,22,22,3,3,4,4,6,2,0,2021/05/03 12:56:56
Asotin County,20/9/2020,0,25,25,3,3,1,7,4,7,0,2021/05/03 12:56:56
Asotin County,27/9/2020,0,16,16,1,3,1,4,3,4,0,2021/05/03 12:56:56
Asotin County,4/10/2020,0,22,22,2,3,4,5,4,4,0,2021/05/03 12:56:56
Asotin County,11/10/2020,0,42,42,4,13,11,11,1,2,0,2021/05/03 12:56:56
Asotin County,18/10/2020,0,45,45,4,14,7,12,7,1,0,2021/05/03 12:56:56
Asotin County,25/10/2020,0,93,93,9,29,20,21,10,4,0,2021/05/03 12:56:56
Asotin County,1/11/2020,0,136,136,13,39,25,34,20,5,0,2021/05/03 12:56:56
Asotin County,8/11/2020,0,154,154,19,45,27,38,18,7,0,2021/05/03 12:56:56
Asotin County,15/11/2020,0,117,117,11,25,31,22,20,8,0,2021/05/03 12:56:56
Asotin County,22/11/2020,0,69,69,3,15,13,18,14,6,0,2021/05/03 12:56:56
Asotin County,29/11/2020,0,93,93,9,17,17,25,17,8,0,2021/05/03 12:56:56
Asotin County,6/12/2020,0,61,61,9,21,8,18,3,2,0,2021/05/03 12:56:56
Asotin County,13/12/2020,0,61,61,2,16,18,11,12,2,0,2021/05/03 12:56:56
Asotin County,20/12/2020,0,40,40,5,12,9,7,4,3,0,2021/05/03 12:56:56
Asotin County,27/12/2020,0,73,73,3,17,10,16,21,6,0,2021/05/03 12:56:56
Asotin County,3/1/2021,0,49,49,3,17,7,14,5,3,0,2021/05/03 12:56:56
Asotin County,10/1/2021,0,20,20,4,3,7,3,2,1,0,2021/05/03 12:56:56
Asotin County,17/1/2021,0,21,21,3,5,6,3,2,2,0,2021/05/03 12:56:56
Asotin County,24/1/2021,0,21,21,5,0,4,7,5,0,0,2021/05/03 12:56:56
Asotin County,31/1/2021,1,20,21,1,5,5,5,3,2,0,2021/05/03 12:56:56
Asotin County,7/2/2021,0,15,15,2,4,2,3,1,3,0,2021/05/03 12:56:56
Asotin County,14/2/2021,0,5,5,0,0,2,2,1,0,0,2021/05/03 12:56:56
Asotin County,21/2/2021,1,5,6,1,2,2,0,1,0,0,2021/05/03 12:56:56
Asotin County,28/2/2021,0,5,5,0,2,1,0,1,1,0,2021/05/03 12:56:56
Asotin County,7/3/2021,0,15,15,4,3,2,4,2,0,0,2021/05/03 12:56:56
Asotin County,14/3/2021,1,12,13,1,2,1,6,2,1,0,2021/05/03 12:56:56
Asotin County,21/3/2021,0,10,10,2,1,2,3,2,0,0,2021/05/03 12:56:56
Asotin County,28/3/2021,0,14,14,4,4,2,4,0,0,0,2021/05/03 12:56:56
Asotin County,4/4/2021,0,8,8,1,1,5,0,1,0,0,2021/05/03 12:56:56
Asotin County,11/4/2021,0,8,8,2,1,1,2,2,0,0,2021/05/03 12:56:56
